city,latitude,longitude,date,max_temperature,min_temperature,max_windspeed,humidity,pressure
Warsaw,52.22977,21.01178,2015-05-21,14.2,10.1,16.9,81.0,1018.7
Warsaw,52.22977,21.01178,2015-05-22,17.0,9.6,13.7,67.0,1023.4
Warsaw,52.22977,21.01178,2015-05-23,16.7,9.8,10.9,70.0,1019.1
Warsaw,52.22977,21.01178,2015-05-24,18.2,9.3,8.0,75.0,1017.8
Warsaw,52.22977,21.01178,2015-05-25,18.8,10.5,13.7,75.0,1013.5
Warsaw,52.22977,21.01178,2015-05-26,18.9,9.5,24.8,83.0,1008.8
Warsaw,52.22977,21.01178,2015-05-27,14.0,8.9,20.5,66.0,1013.3
Warsaw,52.22977,21.01178,2015-05-28,14.8,7.1,15.7,64.0,1015.2
Warsaw,52.22977,21.01178,2015-05-29,18.7,9.2,11.5,65.0,1012.7
Warsaw,52.22977,21.01178,2015-05-30,21.7,12.0,17.3,69.0,1010.6
Warsaw,52.22977,21.01178,2015-05-31,18.3,9.6,13.2,58.0,1017.4
Warsaw,52.22977,21.01178,2015-06-01,23.3,11.7,16.6,60.0,1016.1
Warsaw,52.22977,21.01178,2015-06-02,25.8,14.8,19.4,67.0,1015.5
Warsaw,52.22977,21.01178,2015-06-03,28.3,16.9,21.6,58.0,1016.6
Warsaw,52.22977,21.01178,2015-06-04,20.3,13.2,16.8,50.0,1026.0
Warsaw,52.22977,21.01178,2015-06-05,22.4,9.6,10.2,53.0,1027.4
Warsaw,52.22977,21.01178,2015-06-06,26.6,12.6,17.2,50.0,1023.7
Warsaw,52.22977,21.01178,2015-06-07,27.2,16.1,20.3,59.0,1023.5
Warsaw,52.22977,21.01178,2015-06-08,21.3,14.7,19.2,49.0,1024.6
Warsaw,52.22977,21.01178,2015-06-09,18.3,12.2,19.1,58.0,1024.7
Warsaw,52.22977,21.01178,2015-06-10,20.2,12.7,11.6,60.0,1024.6
Warsaw,52.22977,21.01178,2015-06-11,22.7,11.5,8.7,53.0,1020.8
Warsaw,52.22977,21.01178,2015-06-12,26.8,10.4,11.9,56.0,1016.2
Warsaw,52.22977,21.01178,2015-06-13,27.5,17.7,12.5,62.0,1009.6
Warsaw,52.22977,21.01178,2015-06-14,25.9,17.2,19.3,63.0,1007.1
Warsaw,52.22977,21.01178,2015-06-15,21.9,14.7,17.1,62.0,1011.2
Warsaw,52.22977,21.01178,2015-06-16,18.3,10.3,14.2,51.0,1018.4
Warsaw,52.22977,21.01178,2015-06-17,19.1,11.8,12.1,51.0,1018.9
Warsaw,52.22977,21.01178,2015-06-18,18.4,10.7,17.3,58.0,1012.6
Warsaw,52.22977,21.01178,2015-06-19,18.2,12.3,13.6,68.0,1010.2
Warsaw,52.22977,21.01178,2015-06-20,18.5,9.6,9.4,69.0,1012.7
Warsaw,52.22977,21.01178,2015-06-21,19.1,10.6,16.0,71.0,1012.9
Warsaw,52.22977,21.01178,2015-06-22,20.8,9.8,17.2,69.0,1011.6
Warsaw,52.22977,21.01178,2015-06-23,17.0,12.0,20.8,81.0,1007.5
Warsaw,52.22977,21.01178,2015-06-24,19.0,10.4,18.5,63.0,1016.6
Warsaw,52.22977,21.01178,2015-06-25,19.5,10.8,11.6,65.0,1021.7
Warsaw,52.22977,21.01178,2015-06-26,22.6,11.4,14.7,68.0,1018.1
Warsaw,52.22977,21.01178,2015-06-27,21.2,12.1,9.7,70.0,1014.2
Warsaw,52.22977,21.01178,2015-06-28,23.5,12.6,11.8,64.0,1015.8
Warsaw,52.22977,21.01178,2015-06-29,20.8,15.4,13.6,79.0,1019.0
Warsaw,52.22977,21.01178,2015-06-30,23.4,12.7,8.8,67.0,1019.9
Warsaw,52.22977,21.01178,2015-07-01,24.2,13.9,13.4,58.0,1022.5
Warsaw,52.22977,21.01178,2015-07-02,25.1,14.0,9.5,56.0,1026.5
Warsaw,52.22977,21.01178,2015-07-03,27.3,14.3,10.2,51.0,1028.4
Warsaw,52.22977,21.01178,2015-07-04,30.3,15.1,9.5,52.0,1023.3
Warsaw,52.22977,21.01178,2015-07-05,32.3,16.8,8.9,50.0,1017.0
Warsaw,52.22977,21.01178,2015-07-06,30.3,19.7,20.2,60.0,1014.4
Warsaw,52.22977,21.01178,2015-07-07,28.5,14.9,14.0,54.0,1014.1
Warsaw,52.22977,21.01178,2015-07-08,27.1,18.5,20.5,66.0,1005.0
Warsaw,52.22977,21.01178,2015-07-09,23.0,14.6,24.6,62.0,1009.7
Warsaw,52.22977,21.01178,2015-07-10,17.1,12.5,27.2,55.0,1014.6
Warsaw,52.22977,21.01178,2015-07-11,18.1,12.8,23.5,61.0,1014.8
Warsaw,52.22977,21.01178,2015-07-12,22.3,11.1,11.8,62.0,1013.9
Warsaw,52.22977,21.01178,2015-07-13,20.0,14.6,16.9,81.0,1010.7
Warsaw,52.22977,21.01178,2015-07-14,21.3,14.8,15.6,72.0,1011.3
Warsaw,52.22977,21.01178,2015-07-15,22.2,13.3,18.0,68.0,1014.6
Warsaw,52.22977,21.01178,2015-07-16,23.3,13.5,13.3,62.0,1017.9
Warsaw,52.22977,21.01178,2015-07-17,25.5,15.9,18.1,58.0,1015.8
Warsaw,52.22977,21.01178,2015-07-18,30.4,16.0,17.0,56.0,1013.6
Warsaw,52.22977,21.01178,2015-07-19,28.1,19.0,20.9,74.0,1010.4
Warsaw,52.22977,21.01178,2015-07-20,22.7,15.5,25.6,60.0,1010.0
Warsaw,52.22977,21.01178,2015-07-21,25.2,11.7,10.3,66.0,1014.0
Warsaw,52.22977,21.01178,2015-07-22,27.8,18.1,13.4,66.0,1013.7
Warsaw,52.22977,21.01178,2015-07-23,27.3,20.2,19.4,68.0,1011.1
Warsaw,52.22977,21.01178,2015-07-24,25.5,17.4,14.9,53.0,1015.4
Warsaw,52.22977,21.01178,2015-07-25,31.3,19.4,21.9,64.0,1007.7
Warsaw,52.22977,21.01178,2015-07-26,20.6,15.5,21.6,64.0,1010.4
Warsaw,52.22977,21.01178,2015-07-27,21.6,10.9,15.2,69.0,1006.9
Warsaw,52.22977,21.01178,2015-07-28,22.6,15.1,19.8,75.0,1004.1
Warsaw,52.22977,21.01178,2015-07-29,21.6,14.3,14.8,60.0,1007.0
Warsaw,52.22977,21.01178,2015-07-30,19.9,13.4,27.1,59.0,1009.6
Warsaw,52.22977,21.01178,2015-07-31,19.2,12.3,22.3,59.0,1015.5
Warsaw,52.22977,21.01178,2015-08-01,21.5,9.1,10.0,61.0,1020.2
Warsaw,52.22977,21.01178,2015-08-02,26.7,12.8,10.3,55.0,1020.5
Warsaw,52.22977,21.01178,2015-08-03,29.6,16.1,8.9,57.0,1018.9
Warsaw,52.22977,21.01178,2015-08-04,31.4,17.2,15.3,54.0,1016.6
Warsaw,52.22977,21.01178,2015-08-05,32.0,19.4,9.4,53.0,1015.4
Warsaw,52.22977,21.01178,2015-08-06,31.5,18.4,9.6,62.0,1017.3
Warsaw,52.22977,21.01178,2015-08-07,33.7,19.3,8.7,53.0,1018.8
Warsaw,52.22977,21.01178,2015-08-08,34.2,22.2,15.7,46.0,1017.5
Warsaw,52.22977,21.01178,2015-08-09,31.9,23.6,14.7,54.0,1016.6
Warsaw,52.22977,21.01178,2015-08-10,30.2,20.7,15.1,61.0,1017.0
Warsaw,52.22977,21.01178,2015-08-11,31.3,19.7,10.4,52.0,1015.6
Warsaw,52.22977,21.01178,2015-08-12,32.9,19.1,12.8,49.0,1016.2
Warsaw,52.22977,21.01178,2015-08-13,29.4,21.5,16.3,52.0,1018.0
Warsaw,52.22977,21.01178,2015-08-14,28.4,18.8,17.0,47.0,1016.2
Warsaw,52.22977,21.01178,2015-08-15,30.1,18.9,14.2,47.0,1010.6
Warsaw,52.22977,21.01178,2015-08-16,29.6,20.2,17.7,40.0,1010.9
Warsaw,52.22977,21.01178,2015-08-17,27.6,19.6,25.2,38.0,1012.9
Warsaw,52.22977,21.01178,2015-08-18,24.4,16.2,24.1,41.0,1016.8
Warsaw,52.22977,21.01178,2015-08-19,22.5,12.7,19.8,41.0,1021.2
Warsaw,52.22977,21.01178,2015-08-20,22.0,12.7,16.6,44.0,1026.1
Warsaw,52.22977,21.01178,2015-08-21,23.2,11.6,13.0,43.0,1026.5
Warsaw,52.22977,21.01178,2015-08-22,22.4,15.0,10.8,53.0,1022.7
Warsaw,52.22977,21.01178,2015-08-23,25.0,15.2,14.5,49.0,1017.8
Warsaw,52.22977,21.01178,2015-08-24,27.9,16.1,20.0,44.0,1015.0
Warsaw,52.22977,21.01178,2015-08-25,28.0,14.3,20.2,64.0,1014.6
Warsaw,52.22977,21.01178,2015-08-26,24.0,13.3,11.6,66.0,1019.5
Warsaw,52.22977,21.01178,2015-08-27,27.7,15.4,14.8,56.0,1016.2
Warsaw,52.22977,21.01178,2015-08-28,28.5,18.6,17.7,66.0,1014.7
Warsaw,52.22977,21.01178,2015-08-29,22.9,15.1,11.0,65.0,1023.4
Warsaw,52.22977,21.01178,2015-08-30,28.7,12.9,10.5,61.0,1021.1
Warsaw,52.22977,21.01178,2015-08-31,32.0,18.8,11.6,60.0,1014.3
Warsaw,52.22977,21.01178,2015-09-01,33.1,21.1,13.2,48.0,1006.8
Warsaw,52.22977,21.01178,2015-09-02,22.1,17.3,23.5,66.0,1010.7
Warsaw,52.22977,21.01178,2015-09-03,20.6,15.8,8.0,61.0,1015.3
Warsaw,52.22977,21.01178,2015-09-04,17.2,13.0,10.6,73.0,1013.1
Warsaw,52.22977,21.01178,2015-09-05,21.2,11.2,19.1,67.0,1009.9
Warsaw,52.22977,21.01178,2015-09-06,16.6,10.9,23.8,69.0,1007.5
Warsaw,52.22977,21.01178,2015-09-07,13.8,10.9,28.4,87.0,1010.6
Warsaw,52.22977,21.01178,2015-09-08,15.3,9.9,20.1,82.0,1016.3
Warsaw,52.22977,21.01178,2015-09-09,17.2,7.4,8.9,83.0,1022.2
Warsaw,52.22977,21.01178,2015-09-10,18.3,7.8,17.3,73.0,1026.1
Warsaw,52.22977,21.01178,2015-09-11,19.2,11.5,22.8,64.0,1026.2
Warsaw,52.22977,21.01178,2015-09-12,15.3,12.6,19.0,78.0,1023.5
Warsaw,52.22977,21.01178,2015-09-13,20.0,11.6,19.2,75.0,1021.6
Warsaw,52.22977,21.01178,2015-09-14,23.1,11.6,26.6,70.0,1014.0
Warsaw,52.22977,21.01178,2015-09-15,22.6,15.7,17.7,75.0,1011.6
Warsaw,52.22977,21.01178,2015-09-16,25.7,16.5,14.2,76.0,1006.9
Warsaw,52.22977,21.01178,2015-09-17,28.1,18.9,14.3,68.0,1003.6
Warsaw,52.22977,21.01178,2015-09-18,21.9,14.8,27.6,67.0,1014.7
Warsaw,52.22977,21.01178,2015-09-19,20.8,13.2,7.7,75.0,1020.0
Warsaw,52.22977,21.01178,2015-09-20,17.9,11.3,12.3,84.0,1015.9
Warsaw,52.22977,21.01178,2015-09-21,15.5,8.7,18.4,79.0,1014.5
Warsaw,52.22977,21.01178,2015-09-22,16.9,7.7,16.1,74.0,1012.8
Warsaw,52.22977,21.01178,2015-09-23,21.8,11.0,12.7,76.0,1010.3
Warsaw,52.22977,21.01178,2015-09-24,20.8,12.6,14.8,79.0,1016.3
Warsaw,52.22977,21.01178,2015-09-25,19.3,13.3,17.5,75.0,1016.1
Warsaw,52.22977,21.01178,2015-09-26,14.4,12.0,19.8,84.0,1018.9
Warsaw,52.22977,21.01178,2015-09-27,16.0,9.8,17.9,73.0,1025.5
Warsaw,52.22977,21.01178,2015-09-28,15.3,7.0,13.2,77.0,1031.9
Warsaw,52.22977,21.01178,2015-09-29,14.3,7.4,16.4,74.0,1035.5
Warsaw,52.22977,21.01178,2015-09-30,13.4,7.2,12.9,68.0,1036.0
Warsaw,52.22977,21.01178,2015-10-01,14.5,3.3,11.1,72.0,1032.8
Warsaw,52.22977,21.01178,2015-10-02,16.5,5.9,16.4,67.0,1026.5
Warsaw,52.22977,21.01178,2015-10-03,18.7,5.5,10.8,70.0,1020.7
Warsaw,52.22977,21.01178,2015-10-04,20.7,10.2,16.5,76.0,1015.1
Warsaw,52.22977,21.01178,2015-10-05,18.6,9.8,11.6,82.0,1014.8
Warsaw,52.22977,21.01178,2015-10-06,16.4,10.3,21.0,83.0,1015.2
Warsaw,52.22977,21.01178,2015-10-07,10.2,4.8,22.7,56.0,1021.6
Warsaw,52.22977,21.01178,2015-10-08,10.1,2.9,19.1,56.0,1023.1
Warsaw,52.22977,21.01178,2015-10-09,7.4,0.3,15.2,60.0,1025.9
Warsaw,52.22977,21.01178,2015-10-10,7.0,-2.8,11.6,66.0,1027.0
Warsaw,52.22977,21.01178,2015-10-11,6.2,-2.2,18.6,67.0,1025.2
Warsaw,52.22977,21.01178,2015-10-12,4.8,1.0,20.8,70.0,1025.0
Warsaw,52.22977,21.01178,2015-10-13,4.7,2.4,18.4,90.0,1022.7
Warsaw,52.22977,21.01178,2015-10-14,10.0,4.1,20.8,73.0,1023.2
Warsaw,52.22977,21.01178,2015-10-15,10.0,5.0,26.2,63.0,1023.0
Warsaw,52.22977,21.01178,2015-10-16,13.0,7.1,24.2,77.0,1019.5
Warsaw,52.22977,21.01178,2015-10-17,10.2,8.3,14.4,93.0,1017.5
Warsaw,52.22977,21.01178,2015-10-18,9.5,7.5,19.3,98.0,1015.8
Warsaw,52.22977,21.01178,2015-10-19,10.4,6.7,11.9,86.0,1018.8
Warsaw,52.22977,21.01178,2015-10-20,9.9,6.9,9.9,91.0,1017.0
Warsaw,52.22977,21.01178,2015-10-21,8.0,6.9,20.0,94.0,1013.8
Warsaw,52.22977,21.01178,2015-10-22,10.2,6.3,13.0,86.0,1014.2
Warsaw,52.22977,21.01178,2015-10-23,11.6,7.2,26.7,79.0,1014.7
Warsaw,52.22977,21.01178,2015-10-24,10.7,6.3,17.0,88.0,1021.6
Warsaw,52.22977,21.01178,2015-10-25,10.5,5.3,18.2,88.0,1019.4
Warsaw,52.22977,21.01178,2015-10-26,9.8,1.9,16.4,85.0,1025.0
Warsaw,52.22977,21.01178,2015-10-27,6.7,0.4,7.9,96.0,1026.6
Warsaw,52.22977,21.01178,2015-10-28,8.0,1.3,20.0,85.0,1023.6
Warsaw,52.22977,21.01178,2015-10-29,10.1,3.0,20.0,80.0,1022.0
Warsaw,52.22977,21.01178,2015-10-30,10.7,1.3,9.7,90.0,1030.4
Warsaw,52.22977,21.01178,2015-10-31,10.4,2.3,13.8,85.0,1038.3
Warsaw,52.22977,21.01178,2015-11-01,12.7,2.4,18.1,73.0,1034.5
Warsaw,52.22977,21.01178,2015-11-02,11.1,3.5,15.0,70.0,1028.9
Warsaw,52.22977,21.01178,2015-11-03,10.4,1.5,10.0,84.0,1025.2
Warsaw,52.22977,21.01178,2015-11-04,8.8,0.8,11.0,83.0,1020.6
Warsaw,52.22977,21.01178,2015-11-05,3.9,1.6,9.4,89.0,1024.2
Warsaw,52.22977,21.01178,2015-11-06,4.6,0.8,11.4,82.0,1025.7
Warsaw,52.22977,21.01178,2015-11-07,9.6,1.2,12.4,91.0,1022.5
Warsaw,52.22977,21.01178,2015-11-08,14.1,8.0,36.9,80.0,1019.1
Warsaw,52.22977,21.01178,2015-11-09,12.0,4.7,19.7,89.0,1016.8
Warsaw,52.22977,21.01178,2015-11-10,13.6,9.8,31.6,87.0,1009.7
Warsaw,52.22977,21.01178,2015-11-11,14.1,13.0,28.4,90.0,1013.9
Warsaw,52.22977,21.01178,2015-11-12,12.9,9.7,25.6,84.0,1019.2
Warsaw,52.22977,21.01178,2015-11-13,10.2,6.6,19.0,87.0,1022.7
Warsaw,52.22977,21.01178,2015-11-14,9.0,5.9,31.1,76.0,1015.1
Warsaw,52.22977,21.01178,2015-11-15,7.0,5.0,21.5,84.0,1007.8
Warsaw,52.22977,21.01178,2015-11-16,7.3,5.6,13.8,84.0,1012.5
Warsaw,52.22977,21.01178,2015-11-17,10.1,7.0,16.1,92.0,1009.7
Warsaw,52.22977,21.01178,2015-11-18,12.2,8.0,38.2,86.0,1002.9
Warsaw,52.22977,21.01178,2015-11-19,12.0,8.4,27.6,73.0,1005.6
Warsaw,52.22977,21.01178,2015-11-20,9.9,4.9,26.6,78.0,999.2
Warsaw,52.22977,21.01178,2015-11-21,5.2,2.6,10.5,91.0,994.3
Warsaw,52.22977,21.01178,2015-11-22,3.9,0.9,10.9,91.0,1000.4
Warsaw,52.22977,21.01178,2015-11-23,3.3,-2.2,14.0,83.0,1017.1
Warsaw,52.22977,21.01178,2015-11-24,2.0,-2.7,13.4,83.0,1023.2
Warsaw,52.22977,21.01178,2015-11-25,1.5,-2.9,16.9,81.0,1013.4
Warsaw,52.22977,21.01178,2015-11-26,1.1,-2.5,10.8,83.0,1014.3
Warsaw,52.22977,21.01178,2015-11-27,1.2,-3.5,7.3,89.0,1021.1
Warsaw,52.22977,21.01178,2015-11-28,1.1,-3.6,12.5,86.0,1011.5
Warsaw,52.22977,21.01178,2015-11-29,4.1,0.5,19.9,85.0,1010.3
Warsaw,52.22977,21.01178,2015-11-30,6.4,3.2,31.5,80.0,1005.0
Warsaw,52.22977,21.01178,2015-12-01,4.6,0.8,28.3,88.0,1009.2
Warsaw,52.22977,21.01178,2015-12-02,5.3,1.5,19.8,90.0,1022.3
Warsaw,52.22977,21.01178,2015-12-03,8.1,4.7,12.3,93.0,1028.0
Warsaw,52.22977,21.01178,2015-12-04,7.6,4.5,22.2,84.0,1026.1
Warsaw,52.22977,21.01178,2015-12-05,7.7,5.9,24.6,77.0,1026.5
Warsaw,52.22977,21.01178,2015-12-06,8.7,6.2,26.0,69.0,1021.9
Warsaw,52.22977,21.01178,2015-12-07,10.5,3.3,24.5,80.0,1029.2
Warsaw,52.22977,21.01178,2015-12-08,2.7,-0.8,12.5,97.0,1036.9
Warsaw,52.22977,21.01178,2015-12-09,5.4,2.7,13.7,92.0,1031.3
Warsaw,52.22977,21.01178,2015-12-10,5.4,1.1,14.6,90.0,1033.7
Warsaw,52.22977,21.01178,2015-12-11,4.5,-0.4,21.1,81.0,1023.0
Warsaw,52.22977,21.01178,2015-12-12,5.1,3.6,25.2,88.0,1016.0
Warsaw,52.22977,21.01178,2015-12-13,7.6,1.6,40.6,89.0,1011.2
Warsaw,52.22977,21.01178,2015-12-14,3.0,-0.9,20.6,80.0,1024.9
Warsaw,52.22977,21.01178,2015-12-15,1.4,-0.6,10.9,87.0,1027.2
Warsaw,52.22977,21.01178,2015-12-16,2.2,-0.8,8.4,93.0,1031.4
Warsaw,52.22977,21.01178,2015-12-17,8.1,1.1,19.2,94.0,1023.2
Warsaw,52.22977,21.01178,2015-12-18,10.1,8.2,17.5,96.0,1018.2
Warsaw,52.22977,21.01178,2015-12-19,9.8,7.4,18.0,91.0,1021.9
Warsaw,52.22977,21.01178,2015-12-20,8.2,5.0,18.7,89.0,1023.1
Warsaw,52.22977,21.01178,2015-12-21,7.5,4.1,22.3,85.0,1019.9
Warsaw,52.22977,21.01178,2015-12-22,10.7,5.7,33.9,77.0,1018.3
Warsaw,52.22977,21.01178,2015-12-23,12.0,8.9,24.3,76.0,1020.0
Warsaw,52.22977,21.01178,2015-12-24,8.3,3.2,20.2,90.0,1028.1
Warsaw,52.22977,21.01178,2015-12-25,9.2,3.3,19.6,87.0,1024.7
Warsaw,52.22977,21.01178,2015-12-26,13.0,3.6,32.3,80.0,1019.5
Warsaw,52.22977,21.01178,2015-12-27,12.8,8.1,23.9,79.0,1022.9
Warsaw,52.22977,21.01178,2015-12-28,8.8,2.0,22.0,88.0,1027.5
Warsaw,52.22977,21.01178,2015-12-29,1.1,-4.3,18.1,66.0,1039.3
Warsaw,52.22977,21.01178,2015-12-30,-1.8,-5.3,14.9,65.0,1043.2
Warsaw,52.22977,21.01178,2015-12-31,-2.5,-7.2,14.9,64.0,1035.3
Warsaw,52.22977,21.01178,2016-01-01,-6.5,-9.2,13.8,70.0,1030.7
Warsaw,52.22977,21.01178,2016-01-02,-8.9,-12.3,21.4,57.0,1033.5
Warsaw,52.22977,21.01178,2016-01-03,-9.6,-13.8,14.1,58.0,1026.6
Warsaw,52.22977,21.01178,2016-01-04,-9.2,-14.0,16.3,58.0,1008.9
Warsaw,52.22977,21.01178,2016-01-05,-9.0,-14.7,10.5,70.0,1004.9
Warsaw,52.22977,21.01178,2016-01-06,-4.2,-10.8,11.4,81.0,1006.6
Warsaw,52.22977,21.01178,2016-01-07,-4.4,-6.1,11.8,77.0,1006.9
Warsaw,52.22977,21.01178,2016-01-08,0.7,-6.1,18.2,79.0,1004.1
Warsaw,52.22977,21.01178,2016-01-09,1.7,-2.6,20.4,90.0,1007.3
Warsaw,52.22977,21.01178,2016-01-10,0.8,-2.6,18.6,89.0,1005.5
Warsaw,52.22977,21.01178,2016-01-11,3.6,-1.4,16.9,95.0,996.4
Warsaw,52.22977,21.01178,2016-01-12,1.1,-2.0,12.5,95.0,991.4
Warsaw,52.22977,21.01178,2016-01-13,2.4,-2.4,19.4,93.0,1000.4
Warsaw,52.22977,21.01178,2016-01-14,-0.1,-4.7,19.5,84.0,1011.5
Warsaw,52.22977,21.01178,2016-01-15,-0.1,-5.2,14.3,89.0,1007.8
Warsaw,52.22977,21.01178,2016-01-16,-2.6,-7.8,16.3,84.0,1014.5
Warsaw,52.22977,21.01178,2016-01-17,-3.1,-10.6,9.5,92.0,1020.2
Warsaw,52.22977,21.01178,2016-01-18,-4.4,-6.8,8.4,91.0,1021.4
Warsaw,52.22977,21.01178,2016-01-19,-4.9,-8.8,12.9,86.0,1018.2
Warsaw,52.22977,21.01178,2016-01-20,-4.1,-9.1,17.0,85.0,1013.3
Warsaw,52.22977,21.01178,2016-01-21,-3.6,-9.4,18.9,88.0,1020.2
Warsaw,52.22977,21.01178,2016-01-22,-2.2,-9.6,15.5,90.0,1032.3
Warsaw,52.22977,21.01178,2016-01-23,-4.9,-15.0,12.4,85.0,1031.6
Warsaw,52.22977,21.01178,2016-01-24,0.8,-10.4,15.9,92.0,1029.4
Warsaw,52.22977,21.01178,2016-01-25,1.6,0.6,15.6,96.0,1022.7
Warsaw,52.22977,21.01178,2016-01-26,5.9,0.5,19.6,97.0,1021.3
Warsaw,52.22977,21.01178,2016-01-27,7.2,3.5,21.1,91.0,1015.0
Warsaw,52.22977,21.01178,2016-01-28,8.8,1.6,28.3,79.0,1014.5
Warsaw,52.22977,21.01178,2016-01-29,6.0,-0.5,21.3,77.0,1022.1
Warsaw,52.22977,21.01178,2016-01-30,8.4,5.2,26.5,65.0,1013.0
Warsaw,52.22977,21.01178,2016-01-31,6.3,1.2,26.9,79.0,1003.9
Warsaw,52.22977,21.01178,2016-02-01,5.6,0.5,23.6,83.0,1009.7
